symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
DOGE-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),0.08688000,0.08728064,0.08639923,2026-08-26 09:32:47,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.778 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.778 [>= 0.6];✅ rawand EMA 1h: EMA21=0.09, EMA50=0.09;❌ rawand EMA 4h: EMA21=0.09, EMA50=0.08, EMA200=0.08;✅ RSI 30m: RSI=45.91;❌ MACD 30m: MACD_hist=0.0002;❌ vorud-e hoshmand poolback: ghimat=0.0869 EMA=0.0870 RSI=45.9 BS15=0.778;❌ ADX: ADX=39.85 [>22], DI+=594.52, DI-=255.71;❌ CCI obruz az 0: CCI=101.43;❌ SAR: SAR=0.0866, gimat=0.0869;❌ Stochastic cross: K=91.03 D=30.34;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0129 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0129, ADX=39.85, mode=AND -> OK"
DOGE-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),0.08646000,0.08734938,0.08539274,2026-08-26 15:27:34,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.484 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.571 [>= 0.6];✅ rawand EMA 1h: EMA21=0.09, EMA50=0.09;❌ rawand EMA 4h: EMA21=0.09, EMA50=0.08, EMA200=0.08;✅ RSI 30m: RSI=45.14;❌ MACD 30m: MACD_hist=0.0001;❌ vorud-e hoshmand poolback: ghimat=0.0865 EMA=0.0867 RSI=45.1 BS15=0.484;❌ ADX: ADX=57.30 [>22], DI+=618.80, DI-=168.00;✅ CCI obruz az 0: CCI=-49.53;✅ SAR: SAR=0.0866, gimat=0.0865;❌ Stochastic cross: K=60.38 D=20.13;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0098 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0098, ADX=57.30, mode=AND -> OK"
DOT-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),0.85230000,0.86335690,0.83903172,2026-08-26 15:27:35,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.217 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.444 [>= 0.6];✅ rawand EMA 1h: EMA21=0.86, EMA50=0.88;❌ rawand EMA 4h: EMA21=0.88, EMA50=0.87, EMA200=0.83;✅ RSI 30m: RSI=45.31;❌ MACD 30m: MACD_hist=0.0008;❌ vorud-e hoshmand poolback: ghimat=0.8523 EMA=0.8544 RSI=45.3 BS15=0.217;❌ ADX: ADX=18.08 [>22], DI+=389.22, DI-=270.04;✅ CCI obruz az 0: CCI=-39.68;✅ SAR: SAR=0.8533, gimat=0.8523;❌ Stochastic cross: K=59.13 D=19.71;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0119 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0119, ADX=18.08, mode=AND -> OK"
SEI-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),0.04611000,0.04677833,0.04530800,2026-08-26 15:27:35,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.545 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.667 [>= 0.6];✅ rawand EMA 1h: EMA21=0.05, EMA50=0.05;❌ rawand EMA 4h: EMA21=0.05, EMA50=0.05, EMA200=0.04;✅ RSI 30m: RSI=43.09;❌ MACD 30m: MACD_hist=-0.0000;❌ vorud-e hoshmand poolback: ghimat=0.0461 EMA=0.0463 RSI=43.1 BS15=0.545;❌ ADX: ADX=33.09 [>22], DI+=485.23, DI-=243.94;✅ CCI obruz az 0: CCI=-88.55;✅ SAR: SAR=0.0462, gimat=0.0461;❌ Stochastic cross: K=44.79 D=14.93;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0065 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0065, ADX=33.09, mode=AND -> OK"
