symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,4333.04000000,4327.13696000,4336.58182400,2026-08-09 13:56:21,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.000 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=4331.51, EMA50=4314.92;✅ rawand EMA 4h: EMA21=4288.35, EMA50=4208.88, EMA200=4113.08;✅ RSI 30m: RSI=50.60;❌ MACD 30m: MACD_hist=-0.0839;❌ vorud-e hoshmand poolback: ghimat=4333.0400 EMA=4333.2339 RSI=50.6 BS15=0.000;✅ ADX: ADX=57.82 [>22], DI+=598.91, DI-=160.07;❌ CCI obruz az 0: CCI=-24.50;✅ SAR: SAR=4332.8714, gimat=4333.0400;✅ Stochastic cross: K=23.74 D=7.91;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0008 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0008, ADX=57.82 -> RAD"
LTC-USDT,LONG,LOW,46.16000000,45.85384000,46.34369600,2026-08-09 13:56:22,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.000 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=46.00, EMA50=45.80;✅ rawand EMA 4h: EMA21=45.64, EMA50=45.39, EMA200=44.94;✅ RSI 30m: RSI=56.85;✅ MACD 30m: MACD_hist=0.0081;❌ vorud-e hoshmand poolback: ghimat=46.1600 EMA=46.0826 RSI=56.9 BS15=0.000;✅ ADX: ADX=34.33 [>22], DI+=366.28, DI-=179.07;✅ CCI obruz az 0: CCI=81.65;✅ SAR: SAR=46.1594, gimat=46.1600;✅ Stochastic cross: K=59.09 D=19.70;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0029 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0029, ADX=34.33 -> RAD"
LTC-USDT,LONG,LOW,46.16000000,45.85384000,46.34369600,2026-08-09 13:56:22,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.000 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=46.00, EMA50=45.80;✅ rawand EMA 4h: EMA21=45.64, EMA50=45.39, EMA200=44.94;✅ RSI 30m: RSI=56.85;✅ MACD 30m: MACD_hist=0.0081;❌ vorud-e hoshmand poolback: ghimat=46.1600 EMA=46.0826 RSI=56.9 BS15=0.000;✅ ADX: ADX=34.33 [>22], DI+=366.28, DI-=179.07;✅ CCI obruz az 0: CCI=81.65;✅ SAR: SAR=46.1594, gimat=46.1600;✅ Stochastic cross: K=59.09 D=19.70;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0029 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0029, ADX=34.33 -> RAD"
ATOM-USDT,LONG,MEDIUM,1.38240000,1.37321760,1.38588931,2026-08-09 13:56:23,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=1.000 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=1.38, EMA50=1.37;❌ rawand EMA 4h: EMA21=1.37, EMA50=1.35, EMA200=1.42;✅ RSI 30m: RSI=51.35;❌ MACD 30m: MACD_hist=0.0003;❌ vorud-e hoshmand poolback: ghimat=1.3824 EMA=1.3812 RSI=51.3 BS15=1.000;✅ ADX: ADX=58.77 [>22], DI+=464.27, DI-=120.57;✅ CCI obruz az 0: CCI=11.78;✅ SAR: SAR=1.3799, gimat=1.3824;✅ Stochastic cross: K=49.37 D=16.46;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0005 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0005, ADX=58.77 -> RAD"
