symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),78803.00000000,78424.09700000,79257.68360000,2026-09-01 00:08:55,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.857 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.538 [>= 0.6];✅ rawand EMA 1h: EMA21=78487.60, EMA50=78388.74;✅ rawand EMA 4h: EMA21=78405.55, EMA50=77535.94, EMA200=71268.53;✅ RSI 30m: RSI=56.22;✅ MACD 30m: MACD_hist=31.9860;❌ vorud-e hoshmand poolback: ghimat=78803.0000 EMA=78627.5513 RSI=56.2 BS15=0.857;✅ ADX: ADX=54.00 [>22], DI+=469.33, DI-=140.19;✅ CCI obruz az 0: CCI=62.21;❌ SAR: SAR=78874.2240, gimat=78803.0000;❌ Stochastic cross: K=70.26 D=23.42;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0024 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0024, ADX=54.00, mode=AND -> OK"
BTC-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),78803.00000000,78424.09700000,79257.68360000,2026-09-01 00:08:55,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.857 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.538 [>= 0.6];✅ rawand EMA 1h: EMA21=78487.60, EMA50=78388.74;✅ rawand EMA 4h: EMA21=78405.55, EMA50=77535.94, EMA200=71268.53;✅ RSI 30m: RSI=56.22;✅ MACD 30m: MACD_hist=31.9860;❌ vorud-e hoshmand poolback: ghimat=78803.0000 EMA=78627.5513 RSI=56.2 BS15=0.857;✅ ADX: ADX=54.00 [>22], DI+=469.33, DI-=140.19;✅ CCI obruz az 0: CCI=62.21;❌ SAR: SAR=78874.2240, gimat=78803.0000;❌ Stochastic cross: K=70.26 D=23.42;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0024 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0024, ADX=54.00, mode=AND -> OK"
BTC-USDT,LONG,B1,موج تند (Fast Wave),78803.00000000,78424.09700000,79181.90300000,2026-09-01 00:08:56,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.857 [khayli bala - ehtemal-e payan-e harakat];✅ ghoodat-e kandel 5m: BS5=0.538 [>= 0.48];✅ rawand EMA 1h: EMA21=78487.60, EMA50=78388.74;✅ rawand EMA 4h: EMA21=78405.55, EMA50=77535.94, EMA200=71268.53;✅ RSI 30m: RSI=56.22;✅ MACD 30m: MACD_hist=31.9860;❌ vorud-e hoshmand poolback: ghimat=78803.0000 EMA=78627.5513 RSI=56.2 BS15=0.857;✅ ADX: ADX=54.00 [>22], DI+=469.33, DI-=140.19;✅ CCI obruz az 0: CCI=62.21;❌ SAR: SAR=78874.2240, gimat=78803.0000;❌ Stochastic cross: K=70.26 D=23.42;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0024 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0024, ADX=54.00, mode=OR -> RAD"
ETH-USDT,LONG,S1,شیر طلایی (Golden Lion),2471.02000000,2458.50898000,2486.03322400,2026-09-01 00:08:56,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.665 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.601 [>= 0.6];✅ rawand EMA 1h: EMA21=2460.34, EMA50=2458.77;✅ rawand EMA 4h: EMA21=2459.83, EMA50=2429.16, EMA200=2178.75;✅ RSI 30m: RSI=55.22;✅ MACD 30m: MACD_hist=0.9462;❌ vorud-e hoshmand poolback: ghimat=2471.0200 EMA=2465.4606 RSI=55.2 BS15=0.665;✅ ADX: ADX=32.59 [>22], DI+=337.11, DI-=171.38;✅ CCI obruz az 0: CCI=53.18;❌ SAR: SAR=2475.3662, gimat=2471.0200;✅ Stochastic cross: K=63.72 D=21.24;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0026 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0026, ADX=32.59, mode=AND -> OK"
ETH-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),2471.02000000,2458.50898000,2486.03322400,2026-09-01 00:08:56,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.665 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.601 [>= 0.6];✅ rawand EMA 1h: EMA21=2460.34, EMA50=2458.77;✅ rawand EMA 4h: EMA21=2459.83, EMA50=2429.16, EMA200=2178.75;✅ RSI 30m: RSI=55.22;✅ MACD 30m: MACD_hist=0.9462;❌ vorud-e hoshmand poolback: ghimat=2471.0200 EMA=2465.4606 RSI=55.2 BS15=0.665;✅ ADX: ADX=32.59 [>22], DI+=337.11, DI-=171.38;✅ CCI obruz az 0: CCI=53.18;❌ SAR: SAR=2475.3662, gimat=2471.0200;✅ Stochastic cross: K=63.72 D=21.24;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0026 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0026, ADX=32.59, mode=AND -> OK"
ETH-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),2471.02000000,2458.50898000,2486.03322400,2026-09-01 00:08:57,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.665 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.601 [>= 0.6];✅ rawand EMA 1h: EMA21=2460.34, EMA50=2458.77;✅ rawand EMA 4h: EMA21=2459.83, EMA50=2429.16, EMA200=2178.75;✅ RSI 30m: RSI=55.22;✅ MACD 30m: MACD_hist=0.9462;❌ vorud-e hoshmand poolback: ghimat=2471.0200 EMA=2465.4606 RSI=55.2 BS15=0.665;✅ ADX: ADX=32.59 [>22], DI+=337.11, DI-=171.38;✅ CCI obruz az 0: CCI=53.18;❌ SAR: SAR=2475.3662, gimat=2471.0200;✅ Stochastic cross: K=63.72 D=21.24;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0026 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0026, ADX=32.59, mode=AND -> OK"
ETH-USDT,LONG,B1,موج تند (Fast Wave),2471.02000000,2458.50898000,2483.53102000,2026-09-01 00:09:00,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.665 [>= 0.48];✅ ghoodat-e kandel 5m: BS5=0.601 [>= 0.48];✅ rawand EMA 1h: EMA21=2460.34, EMA50=2458.77;✅ rawand EMA 4h: EMA21=2459.83, EMA50=2429.16, EMA200=2178.75;✅ RSI 30m: RSI=55.22;✅ MACD 30m: MACD_hist=0.9462;❌ vorud-e hoshmand poolback: ghimat=2471.0200 EMA=2465.4606 RSI=55.2 BS15=0.665;✅ ADX: ADX=32.59 [>22], DI+=337.11, DI-=171.38;✅ CCI obruz az 0: CCI=53.18;❌ SAR: SAR=2475.3662, gimat=2471.0200;✅ Stochastic cross: K=63.72 D=21.24;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0026 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0026, ADX=32.59, mode=OR -> RAD"
BNB-USDT,LONG,S1,شیر طلایی (Golden Lion),690.42800000,687.33757200,694.13651360,2026-09-01 00:09:01,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.737 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.642 [>= 0.6];❌ rawand EMA 1h: EMA21=689.88, EMA50=691.34;✅ rawand EMA 4h: EMA21=692.43, EMA50=689.30, EMA200=641.83;✅ RSI 30m: RSI=52.62;✅ MACD 30m: MACD_hist=0.2633;❌ vorud-e hoshmand poolback: ghimat=690.4280 EMA=689.9090 RSI=52.6 BS15=0.737;✅ ADX: ADX=71.07 [>22], DI+=439.00, DI-=74.24;✅ CCI obruz az 0: CCI=46.70;❌ SAR: SAR=691.1206, gimat=690.4280;✅ Stochastic cross: K=57.78 D=19.26;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0001 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0001, ADX=71.07, mode=AND -> OK"
BNB-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),690.42800000,687.33757200,694.13651360,2026-09-01 00:09:01,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.737 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.642 [>= 0.6];❌ rawand EMA 1h: EMA21=689.88, EMA50=691.34;✅ rawand EMA 4h: EMA21=692.43, EMA50=689.30, EMA200=641.83;✅ RSI 30m: RSI=52.62;✅ MACD 30m: MACD_hist=0.2633;❌ vorud-e hoshmand poolback: ghimat=690.4280 EMA=689.9090 RSI=52.6 BS15=0.737;✅ ADX: ADX=71.07 [>22], DI+=439.00, DI-=74.24;✅ CCI obruz az 0: CCI=46.70;❌ SAR: SAR=691.1206, gimat=690.4280;✅ Stochastic cross: K=57.78 D=19.26;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0001 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0001, ADX=71.07, mode=AND -> OK"
BNB-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),690.42800000,687.33757200,694.13651360,2026-09-01 00:09:02,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.737 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.642 [>= 0.6];❌ rawand EMA 1h: EMA21=689.88, EMA50=691.34;✅ rawand EMA 4h: EMA21=692.43, EMA50=689.30, EMA200=641.83;✅ RSI 30m: RSI=52.62;✅ MACD 30m: MACD_hist=0.2633;❌ vorud-e hoshmand poolback: ghimat=690.4280 EMA=689.9090 RSI=52.6 BS15=0.737;✅ ADX: ADX=71.07 [>22], DI+=439.00, DI-=74.24;✅ CCI obruz az 0: CCI=46.70;❌ SAR: SAR=691.1206, gimat=690.4280;✅ Stochastic cross: K=57.78 D=19.26;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0001 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0001, ADX=71.07, mode=AND -> OK"
