symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ETH-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),2499.16000000,2476.53084000,2526.31499200,2026-08-31 00:08:52,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.565 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.240 [>= 0.6];✅ rawand EMA 1h: EMA21=2479.18, EMA50=2469.01;✅ rawand EMA 4h: EMA21=2468.90, EMA50=2425.10, EMA200=2165.48;✅ RSI 30m: RSI=58.41;❌ MACD 30m: MACD_hist=-0.1372;❌ vorud-e hoshmand poolback: ghimat=2499.1600 EMA=2491.1378 RSI=58.4 BS15=0.565;❌ ADX: ADX=31.61 [>22], DI+=138.51, DI-=266.55;✅ CCI obruz az 0: CCI=40.23;❌ SAR: SAR=2502.7132, gimat=2499.1600;✅ Stochastic cross: K=45.01 D=15.00;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0063 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0063, ADX=31.61, mode=AND -> OK"
ETH-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),2499.16000000,2476.53084000,2526.31499200,2026-08-31 00:08:52,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.565 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.240 [>= 0.6];✅ rawand EMA 1h: EMA21=2479.18, EMA50=2469.01;✅ rawand EMA 4h: EMA21=2468.90, EMA50=2425.10, EMA200=2165.48;✅ RSI 30m: RSI=58.41;❌ MACD 30m: MACD_hist=-0.1372;❌ vorud-e hoshmand poolback: ghimat=2499.1600 EMA=2491.1378 RSI=58.4 BS15=0.565;❌ ADX: ADX=31.61 [>22], DI+=138.51, DI-=266.55;✅ CCI obruz az 0: CCI=40.23;❌ SAR: SAR=2502.7132, gimat=2499.1600;✅ Stochastic cross: K=45.01 D=15.00;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0063 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0063, ADX=31.61, mode=AND -> OK"
NEAR-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.88340000,1.86851660,1.90126008,2026-08-31 00:08:53,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.496 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.361 [>= 0.6];✅ rawand EMA 1h: EMA21=1.88, EMA50=1.87;✅ rawand EMA 4h: EMA21=1.87, EMA50=1.86, EMA200=1.80;❌ RSI 30m: RSI=48.73;❌ MACD 30m: MACD_hist=-0.0005;✅ vorud-e hoshmand poolback: ghimat=1.8834 EMA=1.8884 RSI=48.7 BS15=0.496;❌ ADX: ADX=4.75 [>22], DI+=323.17, DI-=293.83;❌ CCI obruz az 0: CCI=-20.73;❌ SAR: SAR=1.8890, gimat=1.8834;✅ Stochastic cross: K=23.87 D=7.96;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0064 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0064, ADX=4.75, mode=AND -> OK"
NEAR-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.88340000,1.86851660,1.90126008,2026-08-31 00:08:53,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.496 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.361 [>= 0.6];✅ rawand EMA 1h: EMA21=1.88, EMA50=1.87;✅ rawand EMA 4h: EMA21=1.87, EMA50=1.86, EMA200=1.80;❌ RSI 30m: RSI=48.73;❌ MACD 30m: MACD_hist=-0.0005;✅ vorud-e hoshmand poolback: ghimat=1.8834 EMA=1.8884 RSI=48.7 BS15=0.496;❌ ADX: ADX=4.75 [>22], DI+=323.17, DI-=293.83;❌ CCI obruz az 0: CCI=-20.73;❌ SAR: SAR=1.8890, gimat=1.8834;✅ Stochastic cross: K=23.87 D=7.96;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0064 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0064, ADX=4.75, mode=AND -> OK"
LINK-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),11.57190000,11.52022810,11.63390628,2026-08-31 00:08:53,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.073 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.032 [>= 0.6];✅ rawand EMA 1h: EMA21=11.52, EMA50=11.49;✅ rawand EMA 4h: EMA21=11.50, EMA50=11.35, EMA200=9.99;✅ RSI 30m: RSI=53.25;❌ MACD 30m: MACD_hist=-0.0075;❌ vorud-e hoshmand poolback: ghimat=11.5719 EMA=11.5661 RSI=53.2 BS15=0.073;❌ ADX: ADX=5.59 [>22], DI+=295.76, DI-=264.47;✅ CCI obruz az 0: CCI=6.34;❌ SAR: SAR=11.5767, gimat=11.5719;✅ Stochastic cross: K=20.54 D=6.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0055 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0055, ADX=5.59, mode=AND -> OK"
LINK-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),11.57190000,11.52022810,11.63390628,2026-08-31 00:08:54,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.073 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.032 [>= 0.6];✅ rawand EMA 1h: EMA21=11.52, EMA50=11.49;✅ rawand EMA 4h: EMA21=11.50, EMA50=11.35, EMA200=9.99;✅ RSI 30m: RSI=53.25;❌ MACD 30m: MACD_hist=-0.0075;❌ vorud-e hoshmand poolback: ghimat=11.5719 EMA=11.5661 RSI=53.2 BS15=0.073;❌ ADX: ADX=5.59 [>22], DI+=295.76, DI-=264.47;✅ CCI obruz az 0: CCI=6.34;❌ SAR: SAR=11.5767, gimat=11.5719;✅ Stochastic cross: K=20.54 D=6.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0055 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0055, ADX=5.59, mode=AND -> OK"
INJ-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),5.25700000,5.21874300,5.30290840,2026-08-31 00:08:57,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.636 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=5.23, EMA50=5.22;✅ rawand EMA 4h: EMA21=5.24, EMA50=5.21, EMA200=4.99;✅ RSI 30m: RSI=50.47;❌ MACD 30m: MACD_hist=-0.0116;❌ vorud-e hoshmand poolback: ghimat=5.2570 EMA=5.2644 RSI=50.5 BS15=0.636;❌ ADX: ADX=22.12 [>22], DI+=165.30, DI-=259.21;❌ CCI obruz az 0: CCI=-117.31;✅ SAR: SAR=5.2436, gimat=5.2570;✅ Stochastic cross: K=23.24 D=7.75;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0080 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0080, ADX=22.12, mode=AND -> OK"
INJ-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),5.25700000,5.21874300,5.30290840,2026-08-31 00:08:58,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.636 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=5.23, EMA50=5.22;✅ rawand EMA 4h: EMA21=5.24, EMA50=5.21, EMA200=4.99;✅ RSI 30m: RSI=50.47;❌ MACD 30m: MACD_hist=-0.0116;❌ vorud-e hoshmand poolback: ghimat=5.2570 EMA=5.2644 RSI=50.5 BS15=0.636;❌ ADX: ADX=22.12 [>22], DI+=165.30, DI-=259.21;❌ CCI obruz az 0: CCI=-117.31;✅ SAR: SAR=5.2436, gimat=5.2570;✅ Stochastic cross: K=23.24 D=7.75;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0080 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0080, ADX=22.12, mode=AND -> OK"
POL-USDT,SHORT,B1,موج تند (Fast Wave),0.09970000,0.10289910,0.09650090,2026-08-31 00:08:58,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.667 [>= 0.48];✅ ghoodat-e kandel 5m: BS5=0.500 [>= 0.48];✅ rawand EMA 1h: EMA21=0.10, EMA50=0.10;❌ rawand EMA 4h: EMA21=0.11, EMA50=0.10, EMA200=0.09;✅ RSI 30m: RSI=37.34;❌ MACD 30m: MACD_hist=-0.0002;❌ vorud-e hoshmand poolback: ghimat=0.0997 EMA=0.1014 RSI=37.3 BS15=0.667;✅ ADX: ADX=35.29 [>22], DI+=170.17, DI-=355.80;✅ CCI obruz az 0: CCI=-91.57;❌ SAR: SAR=0.0997, gimat=0.0997;❌ Stochastic cross: K=26.92 D=8.97;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0128 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0128, ADX=35.29, mode=OR -> OK"
FIL-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),0.66520000,0.68849560,0.63724528,2026-08-31 06:08:42,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.778 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.68, EMA50=0.68;✅ rawand EMA 4h: EMA21=0.69, EMA50=0.70, EMA200=0.71;✅ RSI 30m: RSI=36.16;✅ MACD 30m: MACD_hist=-0.0020;❌ vorud-e hoshmand poolback: ghimat=0.6652 EMA=0.6748 RSI=36.2 BS15=0.778;❌ ADX: ADX=12.61 [>22], DI+=399.34, DI-=309.91;✅ CCI obruz az 0: CCI=-93.44;❌ SAR: SAR=0.6613, gimat=0.6652;❌ Stochastic cross: K=37.83 D=12.61;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;✅ filter-e ranj: faseleh EMA=0.0070 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0070, ADX=12.61, mode=AND -> OK"
