symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),79011.40000000,78515.18860000,79606.85368000,2026-08-30 21:08:42,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.648 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=78467.35, EMA50=78381.75;✅ rawand EMA 4h: EMA21=78428.04, EMA50=77278.76, EMA200=70808.57;✅ RSI 30m: RSI=63.87;✅ MACD 30m: MACD_hist=42.5830;❌ vorud-e hoshmand poolback: ghimat=79011.4000 EMA=78665.5260 RSI=63.9 BS15=0.648;✅ ADX: ADX=24.23 [>22], DI+=292.30, DI-=178.27;✅ CCI obruz az 0: CCI=74.96;✅ SAR: SAR=78780.2040, gimat=79011.4000;❌ Stochastic cross: K=70.02 D=23.34;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;❌ filter-e ranj: faseleh EMA=0.0033 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0033, ADX=24.23, mode=AND -> OK"
ETH-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),2504.82000000,2458.26518000,2560.68578400,2026-08-30 21:08:42,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.599 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.335 [>= 0.6];✅ rawand EMA 1h: EMA21=2470.89, EMA50=2464.49;✅ rawand EMA 4h: EMA21=2465.96, EMA50=2422.12, EMA200=2162.14;❌ RSI 30m: RSI=65.33;✅ MACD 30m: MACD_hist=4.1960;❌ vorud-e hoshmand poolback: ghimat=2504.8200 EMA=2480.3025 RSI=65.3 BS15=0.599;✅ ADX: ADX=30.46 [>22], DI+=312.56, DI-=166.59;❌ CCI obruz az 0: CCI=119.67 [eshba-e kharid];✅ SAR: SAR=2494.3552, gimat=2504.8200;✅ Stochastic cross: K=62.14 D=20.71;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0052 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0052, ADX=30.46, mode=AND -> OK"
ETH-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),2504.82000000,2458.26518000,2560.68578400,2026-08-30 21:08:42,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.599 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.335 [>= 0.6];✅ rawand EMA 1h: EMA21=2470.89, EMA50=2464.49;✅ rawand EMA 4h: EMA21=2465.96, EMA50=2422.12, EMA200=2162.14;❌ RSI 30m: RSI=65.33;✅ MACD 30m: MACD_hist=4.1960;❌ vorud-e hoshmand poolback: ghimat=2504.8200 EMA=2480.3025 RSI=65.3 BS15=0.599;✅ ADX: ADX=30.46 [>22], DI+=312.56, DI-=166.59;❌ CCI obruz az 0: CCI=119.67 [eshba-e kharid];✅ SAR: SAR=2494.3552, gimat=2504.8200;✅ Stochastic cross: K=62.14 D=20.71;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0052 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0052, ADX=30.46, mode=AND -> OK"
BNB-USDT,LONG,S1,شیر طلایی (Golden Lion),699.92800000,694.46707200,706.48111360,2026-08-30 21:08:43,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.788 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.432 [>= 0.6];✅ rawand EMA 1h: EMA21=695.81, EMA50=695.39;✅ rawand EMA 4h: EMA21=696.30, EMA50=689.68, EMA200=638.65;✅ RSI 30m: RSI=60.64;✅ MACD 30m: MACD_hist=0.3723;❌ vorud-e hoshmand poolback: ghimat=699.9280 EMA=697.4526 RSI=60.6 BS15=0.788;❌ ADX: ADX=14.92 [>22], DI+=294.54, DI-=218.04;✅ CCI obruz az 0: CCI=72.05;✅ SAR: SAR=698.2926, gimat=699.9280;✅ Stochastic cross: K=64.69 D=21.56;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0031 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0031, ADX=14.92, mode=AND -> OK"
BNB-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),699.92800000,694.46707200,706.48111360,2026-08-30 21:08:49,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.788 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.432 [>= 0.6];✅ rawand EMA 1h: EMA21=695.81, EMA50=695.39;✅ rawand EMA 4h: EMA21=696.30, EMA50=689.68, EMA200=638.65;✅ RSI 30m: RSI=60.64;✅ MACD 30m: MACD_hist=0.3723;❌ vorud-e hoshmand poolback: ghimat=699.9280 EMA=697.4526 RSI=60.6 BS15=0.788;❌ ADX: ADX=14.92 [>22], DI+=294.54, DI-=218.04;✅ CCI obruz az 0: CCI=72.05;✅ SAR: SAR=698.2926, gimat=699.9280;✅ Stochastic cross: K=64.69 D=21.56;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0031 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0031, ADX=14.92, mode=AND -> OK"
BNB-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),699.92800000,694.46707200,706.48111360,2026-08-30 21:08:50,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.788 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.432 [>= 0.6];✅ rawand EMA 1h: EMA21=695.81, EMA50=695.39;✅ rawand EMA 4h: EMA21=696.30, EMA50=689.68, EMA200=638.65;✅ RSI 30m: RSI=60.64;✅ MACD 30m: MACD_hist=0.3723;❌ vorud-e hoshmand poolback: ghimat=699.9280 EMA=697.4526 RSI=60.6 BS15=0.788;❌ ADX: ADX=14.92 [>22], DI+=294.54, DI-=218.04;✅ CCI obruz az 0: CCI=72.05;✅ SAR: SAR=698.2926, gimat=699.9280;✅ Stochastic cross: K=64.69 D=21.56;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0031 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0031, ADX=14.92, mode=AND -> OK"
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),106.02000000,105.20398000,106.99922400,2026-08-30 21:08:50,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.771 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.583 [>= 0.6];✅ rawand EMA 1h: EMA21=105.62, EMA50=105.06;✅ rawand EMA 4h: EMA21=104.28, EMA50=100.00, EMA200=86.76;✅ RSI 30m: RSI=52.66;❌ MACD 30m: MACD_hist=-0.0093;❌ vorud-e hoshmand poolback: ghimat=106.0200 EMA=105.9443 RSI=52.7 BS15=0.771;❌ ADX: ADX=30.36 [>22], DI+=144.19, DI-=269.89;✅ CCI obruz az 0: CCI=12.48;✅ SAR: SAR=105.3174, gimat=106.0200;✅ Stochastic cross: K=43.03 D=14.34;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0044 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0044, ADX=30.36, mode=AND -> OK"
SOL-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),106.02000000,105.20398000,106.99922400,2026-08-30 21:08:51,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.771 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.583 [>= 0.6];✅ rawand EMA 1h: EMA21=105.62, EMA50=105.06;✅ rawand EMA 4h: EMA21=104.28, EMA50=100.00, EMA200=86.76;✅ RSI 30m: RSI=52.66;❌ MACD 30m: MACD_hist=-0.0093;❌ vorud-e hoshmand poolback: ghimat=106.0200 EMA=105.9443 RSI=52.7 BS15=0.771;❌ ADX: ADX=30.36 [>22], DI+=144.19, DI-=269.89;✅ CCI obruz az 0: CCI=12.48;✅ SAR: SAR=105.3174, gimat=106.0200;✅ Stochastic cross: K=43.03 D=14.34;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0044 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0044, ADX=30.36, mode=AND -> OK"
XRP-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.41895000,1.39355105,1.44942874,2026-08-30 21:08:51,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.764 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.219 [>= 0.6];✅ rawand EMA 1h: EMA21=1.40, EMA50=1.40;✅ rawand EMA 4h: EMA21=1.41, EMA50=1.39, EMA200=1.23;✅ RSI 30m: RSI=64.86;✅ MACD 30m: MACD_hist=0.0021;❌ vorud-e hoshmand poolback: ghimat=1.4189 EMA=1.4032 RSI=64.9 BS15=0.764;❌ ADX: ADX=9.93 [>22], DI+=218.81, DI-=267.03;❌ CCI obruz az 0: CCI=149.11 [eshba-e kharid];✅ SAR: SAR=1.4083, gimat=1.4189;❌ Stochastic cross: K=82.17 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0035 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0035, ADX=9.93, mode=AND -> OK"
XRP-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.41895000,1.39355105,1.44942874,2026-08-30 21:08:54,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.764 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.219 [>= 0.6];✅ rawand EMA 1h: EMA21=1.40, EMA50=1.40;✅ rawand EMA 4h: EMA21=1.41, EMA50=1.39, EMA200=1.23;✅ RSI 30m: RSI=64.86;✅ MACD 30m: MACD_hist=0.0021;❌ vorud-e hoshmand poolback: ghimat=1.4189 EMA=1.4032 RSI=64.9 BS15=0.764;❌ ADX: ADX=9.93 [>22], DI+=218.81, DI-=267.03;❌ CCI obruz az 0: CCI=149.11 [eshba-e kharid];✅ SAR: SAR=1.4083, gimat=1.4189;❌ Stochastic cross: K=82.17 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0035 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0035, ADX=9.93, mode=AND -> OK"
