signal_id,issued_at_tehran,candle_close_tehran,symbol,direction,scenario_id,entry_price,stop_loss,take_profit,exit_mode,exit_param,sl_atr_mult,cm_candles,atr,entry_candle_ts,position_size_usd,risk_pct,reason,status,exit_price,exit_time_tehran,exit_reason,pnl_usd,return_pct,fee_usd,r_multiple,be_armed,be_price,be_armed_at_tehran,telegram_message_id,settle_message_id,last_check_ts,notes
F1-AVAX-USDT-20260923-1730,2026-09-23 17:30:00,2026-09-23 17:30:00,AVAX-USDT,SHORT,F1,10.4220000000,11.0689721896,10.1780556209,FIXED,,1.5,144,0.1979814597,1790172000,10.00,6.2078,Khosro rule-book v1 | SHORT conf=60.0 | قیمت زیر EMA20؛ RSI=38 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: -2.9%؛ جهش حجم معاملات (×1.99),TP_HIT,10.1780556209,2026-09-23 17:44:00,TP,0.214067,2.3407,0.020000,0.3771,0,,,5066,5068,1790173740,2026-09-23 17:30:00|SIGNAL|entry=10.4220000000 || 2026-09-23 17:44:00|SETTLE_TP|exit=10.1780556209;pnl=0.214067
F1-BNB-USDT-20260923-1730,2026-09-23 17:30:00,2026-09-23 17:30:00,BNB-USDT,SHORT,F1,765.6720000000,789.1323569438,764.7892861123,FIXED,,1.5,144,5.4095712959,1790172000,10.00,3.0640,Khosro rule-book v1 | SHORT conf=50.0 | قیمت زیر EMA20؛ RSI=40 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: -1.0%,TP_HIT,764.7892861123,2026-09-23 17:44:00,TP,-0.008471,0.1153,0.020000,0.0376,0,,,5067,5069,1790173740,2026-09-23 17:30:00|SIGNAL|entry=765.6720000000 || 2026-09-23 17:44:00|SETTLE_TP|exit=764.7892861123;pnl=-0.008471
F1-BTC-USDT-20260923-1800,2026-09-23 18:00:00,2026-09-23 18:00:00,BTC-USDT,SHORT,F1,84273.6000000000,86485.9046353360,84396.0907293280,FIXED,,1.5,144,464.4030902240,1790173800,10.00,2.6251,Khosro rule-book v1 | SHORT conf=52.0 | قیمت زیر EMA20؛ RSI=46 در ناحیه سالم؛ مومنتوم 12h: -0.7%؛ جهش حجم معاملات (×1.37),TP_HIT,84396.0907293280,2026-09-23 18:01:00,TP,-0.034535,-0.1453,0.020000,-0.0554,0,,,5072,5076,1790187960,2026-09-23 18:00:00|SIGNAL|entry=84273.6000000000 || 2026-09-23 18:01:00|SETTLE_TP|exit=84396.0907293280;pnl=-0.034535
F1-DOT-USDT-20260923-1800,2026-09-23 18:00:00,2026-09-23 18:00:00,DOT-USDT,SHORT,F1,1.1046000000,1.1787811343,1.0999377313,FIXED,,1.5,144,0.0175207562,1790173800,10.00,6.7157,Khosro rule-book v1 | SHORT conf=60.0 | قیمت زیر EMA20؛ RSI=38 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: -3.5%؛ جهش حجم معاملات (×1.30),TP_HIT,1.0999377313,2026-09-23 18:02:00,TP,0.022208,0.4221,0.020000,0.0628,0,,,5073,5077,1790187960,2026-09-23 18:00:00|SIGNAL|entry=1.1046000000 || 2026-09-23 18:02:00|SETTLE_TP|exit=1.0999377313;pnl=0.022208
F1-ETH-USDT-20260923-1800,2026-09-23 18:00:00,2026-09-23 18:00:00,ETH-USDT,SHORT,F1,2665.6100000000,2744.2894033908,2659.0911932184,FIXED,,1.5,144,18.9329355939,1790173800,10.00,2.9516,Khosro rule-book v1 | SHORT conf=50.0 | قیمت زیر EMA20؛ RSI=36 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: -1.4%,TP_HIT,2659.0911932184,2026-09-23 18:01:00,TP,0.004455,0.2446,0.020000,0.0829,0,,,5074,5078,1790187960,2026-09-23 18:00:00|SIGNAL|entry=2665.6100000000 || 2026-09-23 18:01:00|SETTLE_TP|exit=2659.0911932184;pnl=0.004455
F5-INJ-USDT-20260923-1800,2026-09-23 18:00:00,2026-09-23 18:00:00,INJ-USDT,LONG,F5,7.9680000000,7.3831091347,,BK,arm=1.0,2.5,144,0.1691563461,1790173800,10.00,7.3405,حجم 3.2× میانگین20؛ دامنه 2.3×ATR؛ کلوز در 21% پایینی و زیر EMA50,OPEN,,,,,,,,0,,,5075,,1790275980,2026-09-23 18:00:00|SIGNAL|entry=7.9680000000
