signal_id,issued_at_tehran,candle_close_tehran,symbol,direction,scenario_id,entry_price,stop_loss,take_profit,exit_mode,exit_param,sl_atr_mult,cm_candles,atr,entry_candle_ts,position_size_usd,risk_pct,reason,status,exit_price,exit_time_tehran,exit_reason,pnl_usd,return_pct,fee_usd,r_multiple,be_armed,be_price,be_armed_at_tehran,telegram_message_id,settle_message_id,last_check_ts,notes
F3-DOT-USDT-20260917-1200,2026-09-17 12:00:00,2026-09-17 12:00:00,DOT-USDT,LONG,F3,1.0136000000,0.9901486329,,TRAIL,5.0,2.5,432,0.0093805468,1789633800,10.00,2.3137,روند صعودی: شیب EMA50 در 24 کندل = 2.64% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,SL_HIT,1.1107000000,2026-09-19 11:25:00,SL,0.937972,9.5797,0.020000,4.1405,0,,,4971,4985,1789804740,2026-09-17 12:00:00|SIGNAL|entry=1.0136000000 || 2026-09-19 11:25:00|SETTLE_SL|exit=1.1107000000;pnl=0.937972
F3-AVAX-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,AVAX-USDT,LONG,F3,7.6320000000,7.5191947083,,TRAIL,5.0,2.5,432,0.0451221167,1789653600,10.00,1.4781,روند صعودی: شیب EMA50 در 24 کندل = 1.68% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4972,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=7.6320000000
F3-INJ-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,INJ-USDT,LONG,F3,5.7180000000,5.5811416202,,TRAIL,5.0,2.5,432,0.0547433519,1789653600,10.00,2.3935,روند صعودی: شیب EMA50 در 24 کندل = 1.41% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4973,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=5.7180000000
F3-LINK-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,LINK-USDT,LONG,F3,11.3630000000,11.1543666589,,TRAIL,5.0,2.5,432,0.0834533364,1789653600,10.00,1.8361,روند صعودی: شیب EMA50 در 24 کندل = 1.43% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4974,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=11.3630000000
F3-OP-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,OP-USDT,LONG,F3,0.0991000000,0.0969027816,,TRAIL,5.0,2.5,432,0.0008788874,1789653600,10.00,2.2172,روند صعودی: شیب EMA50 در 24 کندل = 1.84% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4975,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=0.0991000000
F3-SEI-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,SEI-USDT,LONG,F3,0.0437300000,0.0430993705,,TRAIL,5.0,2.5,432,0.0002522518,1789653600,10.00,1.4421,روند صعودی: شیب EMA50 در 24 کندل = 1.40% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4976,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=0.0437300000
F3-SUI-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,SUI-USDT,LONG,F3,0.7316000000,0.7177269363,,TRAIL,5.0,2.5,432,0.0055492255,1789653600,10.00,1.8963,روند صعودی: شیب EMA50 در 24 کندل = 2.01% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4977,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=0.7316000000
F3-TIA-USDT-20260917-1730,2026-09-17 17:30:00,2026-09-17 17:30:00,TIA-USDT,LONG,F3,0.3494000000,0.3431155945,,TRAIL,5.0,2.5,432,0.0025137622,1789653600,10.00,1.7986,روند صعودی: شیب EMA50 در 24 کندل = 2.64% (≥1.2%)؛ لمس EMA21 و کلوز صعودی بالای آن,OPEN,,,,,,,,0,,,4978,,1789804740,2026-09-17 17:30:00|SIGNAL|entry=0.3494000000
