signal_id,issued_at_tehran,candle_close_tehran,symbol,direction,scenario_id,entry_price,stop_loss,take_profit,exit_mode,exit_param,sl_atr_mult,cm_candles,atr,entry_candle_ts,position_size_usd,risk_pct,reason,status,exit_price,exit_time_tehran,exit_reason,pnl_usd,return_pct,fee_usd,r_multiple,be_armed,be_price,be_armed_at_tehran,telegram_message_id,settle_message_id,last_check_ts,notes
F4-INJ-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,INJ-USDT,SHORT,F4,5.9310000000,6.1048084293,,BK,arm=1.0,2.5,288,0.0695233717,1789045200,10.00,2.9305,افت BTC=3.6% (≥3.5%) و افت نماد=8.6% (≥8%)؛ بازگشت به EMA21 و کندل رد شدن نزولی,BE_HIT,5.9191380000,2026-09-10 21:08:00,BE,-0.000000,0.2000,0.020000,0.0682,1,5.9191380000,2026-09-10 19:48:00,4943,4951,1789061580,2026-09-10 16:30:00|SIGNAL|entry=5.9310000000 || 2026-09-10 19:48:00|BE_ARMED|5.9191380000 || 2026-09-10 21:08:00|SETTLE_BE|exit=5.9191380000;pnl=-0.000000
F4-OP-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,OP-USDT,SHORT,F4,0.0964000000,0.0989937467,,BK,arm=1.0,2.5,288,0.0010374987,1789045200,10.00,2.6906,افت BTC=3.6% (≥3.5%) و افت نماد=9.0% (≥8%)؛ بازگشت به EMA21 و کندل رد شدن نزولی,BE_HIT,0.0962072000,2026-09-11 17:05:00,BE,0.000000,0.2000,0.020000,0.0743,1,0.0962072000,2026-09-11 15:38:00,4944,4957,1789146120,2026-09-10 16:30:00|SIGNAL|entry=0.0964000000 || 2026-09-11 15:38:00|BE_ARMED|0.0962072000 || 2026-09-11 17:05:00|SETTLE_BE|exit=0.0962072000;pnl=0.000000
F5-SEI-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,SEI-USDT,LONG,F5,0.0454600000,0.0445369833,,BK,arm=1.0,2.5,144,0.0003692067,1789045200,10.00,2.0304,حجم 9.0× میانگین20 (≥1.5×)؛ دامنه 3.2×ATR (≥1.8×)؛ کلوز در 19% پایینی دامنه و زیر EMA50,SL_HIT,0.0445369833,2026-09-10 20:17:00,SL,-0.223039,-2.0304,0.020000,-1.0000,0,,,4945,4950,1789059660,2026-09-10 16:30:00|SIGNAL|entry=0.0454600000 || 2026-09-10 20:17:00|SETTLE_SL|exit=0.0445369833;pnl=-0.223039
F4-SUI-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,SUI-USDT,SHORT,F4,0.7505000000,0.7683722650,,BK,arm=1.0,2.5,288,0.0071489060,1789045200,10.00,2.3814,افت BTC=3.6% (≥3.5%) و افت نماد=9.5% (≥8%)؛ بازگشت به EMA21 و کندل رد شدن نزولی,OPEN,,,,,,,,1,0.7489990000,2026-09-11 15:38:00,4946,4954,1789154820,2026-09-10 16:30:00|SIGNAL|entry=0.7505000000 || 2026-09-11 15:38:00|BE_ARMED|0.7489990000
F5-SUI-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,SUI-USDT,LONG,F5,0.7505000000,0.7326277350,,BK,arm=1.0,2.5,144,0.0071489060,1789045200,10.00,2.3814,حجم 6.0× میانگین20 (≥1.5×)؛ دامنه 3.3×ATR (≥1.8×)؛ کلوز در 33% پایینی دامنه و زیر EMA50,SL_HIT,0.7175000000,2026-09-11 16:08:00,SL,-0.459707,-4.3971,0.020000,-1.8464,0,,,4947,4955,1789129740,2026-09-10 16:30:00|SIGNAL|entry=0.7505000000 || 2026-09-11 16:08:00|SETTLE_SL|exit=0.7175000000;pnl=-0.459707
F4-TIA-USDT-20260910-1630,2026-09-10 16:30:00,2026-09-10 16:30:00,TIA-USDT,SHORT,F4,0.3747000000,0.3845037937,,BK,arm=1.0,2.5,288,0.0039215175,1789045200,10.00,2.6164,افت BTC=3.6% (≥3.5%) و افت نماد=9.9% (≥8%)؛ بازگشت به EMA21 و کندل رد شدن نزولی,OPEN,,,,,,,,1,0.3739506000,2026-09-11 15:38:00,4948,4956,1789154820,2026-09-10 16:30:00|SIGNAL|entry=0.3747000000 || 2026-09-11 15:38:00|BE_ARMED|0.3739506000
